building,floor,class_no,capacity,no_boards,no_projector,allow_individual,has_window,has_Cam,has_docCam,has_outlets,has_lectureCap,has_touchScreen,image_url
CASE,B,33,34,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,31,34,4,1,0,0,1,0,1,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,30B,17,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,30A,20,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,26,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,24,64,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,15,16,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,13,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,12,22,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,2,16,39,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,36,26,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,34,34,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,33,33,2,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,1,24,40,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
